user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
MAG038	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__Mailhella sp003512875	GCA_003512875.1	95.0	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__Mailhella sp003512875	98.74	0.96	GCA_003512875.1	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__Mailhella sp003512875	98.74	0.96	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	94.44	11	N/A	N/A
MAG133	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp001689425	GCA_001689425.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp001689425	98.63	0.87	GCA_001689425.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp001689425	98.63	0.87	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_003024805.1, s__Duncaniella muris, 95.0, 79.07, 0.33; GCA_001689495.1, s__Duncaniella sp001689495, 95.0, 77.88, 0.17; GCA_002494015.1, s__Duncaniella sp002494015, 95.0, 77.67, 0.15; GCA_001701225.1, s__Duncaniella sp001701225, 95.0, 77.67, 0.15; GCA_001689575.1, s__Duncaniella sp001689575, 95.0, 77.56, 0.19; GCA_002492665.1, s__Duncaniella sp002492665, 95.0, 76.93, 0.16	92.74	11	N/A	N/A
MAG057	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum intestinale	GCF_002201515.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum intestinale	99.84	0.95	GCF_002201515.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum intestinale	99.84	0.95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_001701195.1, s__Muribaculum sp001701195, 95.0, 77.95, 0.17; GCA_001689405.1, s__Muribaculum arabinoxylanisolvens, 95.0, 77.92, 0.18; GCA_002492595.1, s__Muribaculum sp002492595, 95.0, 77.69, 0.18; GCA_003150235.1, s__Muribaculum sp003150235, 95.0, 77.51, 0.15; GCA_002358615.1, s__Muribaculum sp002358615, 95.0, 77.32, 0.16; GCA_001701065.1, s__Muribaculum sp001701065, 95.0, 77.21, 0.12	97.5	11	N/A	N/A
MAG064	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	GCF_000020225.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	98.74	0.94	GCF_000020225.1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	98.74	0.94	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_900184965.1, s__Akkermansia muciniphila_A, 95.0, 93.86, 0.87; GCF_002885095.1, s__Akkermansia muciniphila_B, 95.0, 87.25, 0.84; GCF_002884975.1, s__Akkermansia muciniphila_C, 95.0, 86.0, 0.81; GCF_001580195.1, s__Akkermansia sp001580195, 95.0, 82.3, 0.71; GCF_001683795.1, s__Akkermansia glycaniphila, 95.0, 77.27, 0.11	92.84	11	N/A	N/A
MAG060	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp001689665	GCA_001689665.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp001689665	97.66	0.84	GCA_001689665.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp001689665	97.66	0.84	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002493945.1, s__CAG-873 sp002493945, 95.0, 77.39, 0.19; GCA_002490635.1, s__CAG-873 sp002490635, 95.0, 76.99, 0.17; GCA_002478045.1, s__CAG-873 sp002478045, 95.0, 76.9, 0.11; GCA_002633115.1, s__CAG-873 sp002633115, 95.0, 76.89, 0.13; GCA_002491245.1, s__CAG-873 sp002491245, 95.0, 76.81, 0.12; GCA_001689415.1, s__CAG-873 sp001689415, 95.0, 76.78, 0.1; GCA_001701165.1, s__CAG-873 sp001701165, 95.0, 76.45, 0.08	89.25	11	N/A	N/A
MAG021	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides acidifaciens	GCA_000613385.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides acidifaciens	98.56	0.83	GCA_000613385.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides acidifaciens	98.56	0.83	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_001688725.2, s__Bacteroides caecimuris, 95.0, 90.33, 0.6; GCF_900130125.1, s__Bacteroides congonensis, 95.0, 89.49, 0.71; GCA_000210075.1, s__Bacteroides xylanisolvens, 95.0, 86.62, 0.6; GCF_001314995.1, s__Bacteroides ovatus, 95.0, 85.04, 0.61; GCF_002222615.2, s__Bacteroides caccae, 95.0, 83.64, 0.52; GCF_000156195.1, s__Bacteroides finegoldii, 95.0, 83.56, 0.51; GCA_900066265.1, s__Bacteroides sp900066265, 95.0, 82.92, 0.53; GCF_000011065.1, s__Bacteroides thetaiotaomicron, 95.0, 81.82, 0.51; GCF_900106755.1, s__Bacteroides faecis, 95.0, 81.66, 0.5; GCF_900155865.1, s__Bacteroides bouchesdurhonensis, 95.0, 80.43, 0.35; GCF_000614145.1, s__Bacteroides faecichinchillae, 95.0, 79.62, 0.34; GCF_000025985.1, s__Bacteroides fragilis, 95.0, 78.62, 0.21; GCF_000381365.1, s__Bacteroides salyersiae, 95.0, 78.56, 0.23; GCF_000428105.1, s__Bacteroides pyogenes, 95.0, 78.51, 0.24; GCF_000613465.1, s__Bacteroides nordii, 95.0, 78.5, 0.24; GCF_900241005.1, s__Bacteroides cutis, 95.0, 78.33, 0.19; GCF_002849695.1, s__Bacteroides fragilis_A, 95.0, 78.33, 0.22; GCF_000315485.1, s__Bacteroides oleiciplenus, 95.0, 78.31, 0.19; GCF_000172175.1, s__Bacteroides intestinalis, 95.0, 78.3, 0.21; GCF_000155815.1, s__Bacteroides eggerthii, 95.0, 78.27, 0.18; GCF_900129655.1, s__Bacteroides clarus, 95.0, 78.24, 0.18; GCF_000517545.1, s__Bacteroides reticulotermitis, 95.0, 78.21, 0.26; GCF_000614165.1, s__Bacteroides stercorirosoris, 95.0, 78.2, 0.21; GCF_000154525.1, s__Bacteroides stercoris, 95.0, 78.11, 0.19; GCF_000513195.1, s__Bacteroides timonensis, 95.0, 78.1, 0.2; GCF_000511775.1, s__Bacteroides pyogenes_A, 95.0, 78.03, 0.24; GCF_000195635.1, s__Bacteroides fluxus, 95.0, 77.96, 0.18; GCF_000154205.1, s__Bacteroides uniformis, 95.0, 77.9, 0.18; GCF_000158035.1, s__Bacteroides cellulosilyticus, 95.0, 77.89, 0.21; GCA_000614125.1, s__Bacteroides rodentium, 95.0, 77.87, 0.2; GCA_000437135.1, s__Bacteroides intestinalis_A, 95.0, 77.83, 0.16; GCF_900108345.1, s__Bacteroides ndongoniae, 95.0, 77.79, 0.16; GCA_003545565.1, s__Bacteroides sp003545565, 95.0, 77.77, 0.19; GCF_000374365.1, s__Bacteroides gallinarum, 95.0, 77.66, 0.18; GCF_000186225.1, s__Bacteroides helcogenes, 95.0, 77.66, 0.14; GCF_000499785.1, s__Bacteroides neonati, 95.0, 77.56, 0.16; GCA_002471185.1, s__Bacteroides sp002471185, 95.0, 77.5, 0.1; GCF_002998535.1, s__Bacteroides heparinolyticus, 95.0, 77.49, 0.14; GCA_002491635.1, s__Bacteroides sp002491635, 95.0, 77.44, 0.19; GCA_002293435.1, s__Bacteroides sp002293435, 95.0, 77.43, 0.14; GCF_900130135.1, s__Bacteroides togonis, 95.0, 77.35, 0.11; GCF_002998435.1, s__Bacteroides zoogleoformans, 95.0, 77.33, 0.15; GCF_900104585.1, s__Bacteroides ihuae, 95.0, 77.16, 0.09; GCA_002471195.1, s__Bacteroides sp002471195, 95.0, 77.02, 0.09; GCF_900128475.1, s__Bacteroides massiliensis, 95.0, 77.01, 0.12; GCA_002307035.1, s__Bacteroides sp002307035, 95.0, 77.0, 0.1; GCF_000428125.1, s__Bacteroides graminisolvens, 95.0, 76.9, 0.09; GCF_900128905.1, s__Bacteroides luti, 95.0, 76.74, 0.06; GCF_002160055.1, s__Bacteroides sp002160055, 95.0, 76.64, 0.08	84.35	11	N/A	N/A
MAG053	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002493045	GCA_002493045.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002493045	99.33	0.93	GCA_002493045.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002493045	99.33	0.93	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002361215.1, s__CAG-485 sp002361215, 95.0, 80.48, 0.13; GCA_002493515.1, s__CAG-485 sp002493515, 95.0, 77.22, 0.14; GCA_002362485.1, s__CAG-485 sp002362485, 95.0, 77.0, 0.11; GCA_002491945.1, s__CAG-485 sp002491945, 95.0, 76.6, 0.1; GCA_002361235.1, s__CAG-485 sp002361235, 95.0, 76.52, 0.08; GCA_002361155.1, s__CAG-485 sp002361155, 95.0, 76.5, 0.11; GCA_002404675.1, s__CAG-485 sp002404675, 95.0, 76.39, 0.03; GCA_002491165.1, s__CAG-485 sp002491165, 95.0, 76.33, 0.08; GCA_001701295.1, s__CAG-485 sp001701295, 95.0, 76.28, 0.08; GCA_001701075.1, s__CAG-485 sp001701075, 95.0, 76.27, 0.08	97.9	11	N/A	N/A
MAG103	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Turicimonas;s__Turicimonas muris	GCF_002221595.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Turicimonas;s__Turicimonas muris	99.96	1.0	GCF_002221595.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Turicimonas;s__Turicimonas muris	99.96	1.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	98.89	11	N/A	N/A
MAG091	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	GCF_000403215.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	97.93	0.93	GCF_000403215.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	97.93	0.93	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002490665.1, s__COE1 sp002490665, 95.0, 79.17, 0.38; GCA_002358575.1, s__COE1 sp002358575, 95.0, 78.87, 0.35; GCA_002491195.1, s__COE1 sp002491195, 95.0, 78.56, 0.34; GCA_003513705.1, s__COE1 sp003513705, 95.0, 77.93, 0.25; GCF_000403335.2, s__COE1 sp000403335, 95.0, 77.58, 0.19; GCA_001916965.1, s__COE1 sp001916965, 95.0, 77.47, 0.06; GCA_002492295.1, s__COE1 sp002492295, 95.0, 76.91, 0.13	76.9	11	N/A	Genome has more than 12.5% of markers with multiple hits
MAG122	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum intestinale	GCF_003024815.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum intestinale	98.86	0.96	GCF_003024815.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum intestinale	98.86	0.96	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_001689535.1, s__Paramuribaculum sp001689535, 95.0, 77.97, 0.19; GCA_001689565.1, s__Paramuribaculum sp001689565, 95.0, 77.3, 0.18; GCA_000431155.1, s__Paramuribaculum sp000431155, 95.0, 77.02, 0.11; GCA_001701115.1, s__Paramuribaculum sp001701115, 95.0, 76.79, 0.1	96.27	11	N/A	N/A
MAG116	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	GCF_000969835.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	98.33	0.85	GCF_000969835.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	98.33	0.85	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_000969825.1, s__Parabacteroides gordonii, 95.0, 83.98, 0.56; GCF_900128505.1, s__Parabacteroides timonensis, 95.0, 82.52, 0.51; GCF_900155425.1, s__Parabacteroides sp900155425, 95.0, 79.11, 0.31; GCF_000156495.1, s__Parabacteroides johnsonii, 95.0, 78.95, 0.34; GCF_000154105.1, s__Parabacteroides merdae, 95.0, 78.94, 0.35; GCF_900186615.1, s__Parabacteroides bouchesdurhonensis, 95.0, 78.74, 0.25; GCF_900108035.1, s__Parabacteroides chinchillae, 95.0, 78.49, 0.26; GCF_000012845.1, s__Parabacteroides distasonis, 95.0, 78.43, 0.2; GCA_000436495.1, s__Parabacteroides sp000436495, 95.0, 77.41, 0.19; GCF_002159645.1, s__Parabacteroides sp002159645, 95.0, 76.9, 0.09	98.65	11	N/A	N/A
MAG015	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002362485	GCA_002362485.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002362485	98.99	0.85	GCA_002362485.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002362485	98.99	0.85	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002493045.1, s__CAG-485 sp002493045, 95.0, 77.64, 0.1; GCA_002493515.1, s__CAG-485 sp002493515, 95.0, 76.95, 0.11; GCA_900321585.1, s__CAG-485 sp900321585, 95.0, 76.81, 0.13; GCA_001701295.1, s__CAG-485 sp001701295, 95.0, 76.76, 0.1; GCA_002491945.1, s__CAG-485 sp002491945, 95.0, 76.74, 0.07; GCA_002361235.1, s__CAG-485 sp002361235, 95.0, 76.72, 0.1; GCA_002361155.1, s__CAG-485 sp002361155, 95.0, 76.64, 0.14; GCA_002361215.1, s__CAG-485 sp002361215, 95.0, 76.37, 0.09; GCA_001701105.1, s__CAG-485 sp001701105, 95.0, 76.09, 0.06	97.82	11	N/A	N/A
MAG123	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris	GCF_003024805.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris	98.53	0.92	GCF_003024805.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris	98.53	0.92	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_001689575.1, s__Duncaniella sp001689575, 95.0, 79.24, 0.25; GCA_001689425.1, s__Duncaniella sp001689425, 95.0, 79.11, 0.36; GCA_002494015.1, s__Duncaniella sp002494015, 95.0, 78.17, 0.18; GCA_001689495.1, s__Duncaniella sp001689495, 95.0, 78.17, 0.27; GCA_001701225.1, s__Duncaniella sp001701225, 95.0, 78.0, 0.2; GCA_002492665.1, s__Duncaniella sp002492665, 95.0, 76.8, 0.15	95.6	11	N/A	N/A
MAG099	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp000403395	GCF_000403395.2	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp000403395	99.04	0.97	GCF_000403395.2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp000403395	99.04	0.97	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_900199635.1, s__Anaerotruncus sp900199635, 95.0, 77.81, 0.2; GCF_900078395.1, s__Anaerotruncus rubiinfantis, 95.0, 77.71, 0.19; GCF_900186535.1, s__Anaerotruncus massiliensis, 95.0, 77.01, 0.14; GCF_000154565.1, s__Anaerotruncus colihominis, 95.0, 76.93, 0.13	94.66	11	N/A	N/A
MAG084	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	GCF_000403215.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	98.38	0.92	GCF_000403215.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	98.38	0.92	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002490665.1, s__COE1 sp002490665, 95.0, 79.4, 0.37; GCA_002358575.1, s__COE1 sp002358575, 95.0, 79.31, 0.37; GCA_002491195.1, s__COE1 sp002491195, 95.0, 78.63, 0.35; GCA_003513705.1, s__COE1 sp003513705, 95.0, 78.32, 0.3; GCF_000403335.2, s__COE1 sp000403335, 95.0, 77.63, 0.2; GCA_001916965.1, s__COE1 sp001916965, 95.0, 77.51, 0.08; GCA_002492295.1, s__COE1 sp002492295, 95.0, 77.09, 0.18	88.65	11	N/A	N/A
MAG071	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689485	GCA_001689485.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689485	99.02	0.84	GCA_001689485.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689485	99.02	0.84	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_001689685.1, s__UBA7173 sp001689685, 95.0, 77.79, 0.16; GCA_001701135.1, s__UBA7173 sp001701135, 95.0, 77.71, 0.17; GCA_002491305.1, s__UBA7173 sp002491305, 95.0, 77.49, 0.17	96.96	11	N/A	N/A
MAG046	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp003513705	GCA_003513705.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp003513705	98.85	0.76	GCA_003513705.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp003513705	98.85	0.76	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002358575.1, s__COE1 sp002358575, 95.0, 86.96, 0.73; GCF_000403215.1, s__COE1 sp000403215, 95.0, 80.82, 0.37; GCF_000403335.2, s__COE1 sp000403335, 95.0, 79.61, 0.15; GCA_002491195.1, s__COE1 sp002491195, 95.0, 78.19, 0.22; GCA_002490665.1, s__COE1 sp002490665, 95.0, 77.93, 0.22; GCA_001916965.1, s__COE1 sp001916965, 95.0, 77.45, 0.09; GCA_002492295.1, s__COE1 sp002492295, 95.0, 76.68, 0.13	96.51	11	N/A	N/A
MAG112	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella_A;s__Hungatella_A sp002358555	GCA_002358555.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella_A;s__Hungatella_A sp002358555	98.92	0.91	GCA_002358555.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella_A;s__Hungatella_A sp002358555	98.92	0.91	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella_A;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_000235505.1, s__Hungatella_A hathewayi, 95.0, 77.15, 0.07	98.57	11	N/A	N/A
MAG142	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp002492665	GCA_002492665.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp002492665	99.05	0.94	GCA_002492665.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp002492665	99.05	0.94	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_001689575.1, s__Duncaniella sp001689575, 95.0, 79.07, 0.3; GCA_001689495.1, s__Duncaniella sp001689495, 95.0, 77.97, 0.18; GCF_003024805.1, s__Duncaniella muris, 95.0, 77.63, 0.16; GCA_001701225.1, s__Duncaniella sp001701225, 95.0, 77.61, 0.15; GCA_001689425.1, s__Duncaniella sp001689425, 95.0, 77.49, 0.17; GCA_002494015.1, s__Duncaniella sp002494015, 95.0, 77.35, 0.1	94.07	11	N/A	N/A
MAG082	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	GCF_000403215.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	98.12	0.92	GCF_000403215.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	98.12	0.92	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002358575.1, s__COE1 sp002358575, 95.0, 79.26, 0.39; GCA_002490665.1, s__COE1 sp002490665, 95.0, 79.17, 0.4; GCA_002491195.1, s__COE1 sp002491195, 95.0, 78.34, 0.37; GCA_003513705.1, s__COE1 sp003513705, 95.0, 77.98, 0.28; GCA_001916965.1, s__COE1 sp001916965, 95.0, 77.62, 0.07; GCF_000403335.2, s__COE1 sp000403335, 95.0, 77.3, 0.2; GCA_002492295.1, s__COE1 sp002492295, 95.0, 76.73, 0.15	77.38	11	N/A	Genome has more than 13.3% of markers with multiple hits
